"blazy href","media__image src","field","field 2","field 3","clearfix","field 4"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/ana-belen-flores-del-castillo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-08/Work%20shop%20Manos%20de%20lana%20%20%2815%29%20%285%29.jpg.webp?itok=8arWb7iZ","Ana Belén","Flores del Castillo","Tejedora","¡Hola! Soy Ana representante de la Empresa artesana MANOS DE LANA. De las manos...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/severiano-sanchez-alarcos-carrasco","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/Severiano.jpg.webp?itok=JgsU6lxS","Severiano","Sánchez-Alarcos Carrasco","Tallista de piedra y marmol","Con más de 30 años de experiencia como artesano en el mundo de la piedra natural...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jose-exposito-picazo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-11/Jose%20Exposito%20cuchillero%202%20%285%29.jpg.webp?itok=-Nlqlle6","Maestro artesano","José","Expósito Picazo","Cuchillería Artesana de Albacete. Más de 100 años haciendo navajas y cuchillos...","Cuchillero y Navajero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/esther-villajos-toledo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-08/1722877179803_1.jpg.webp?itok=hpdIDXf8","Esther","Villajos Toledo","Marroquinera y Repujadora","Mi nombre es Esther, y desde siempre me ha gustado usar mis manos como...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/sandra-sarria-garcia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-06/IMG20250622195820%20%281%29%20%285%29%20%281%29.jpg.webp?itok=ue1vl10H","Sandra","Sarria García","Joyera","Soy joyera y cuarta generación de una familia dedicada a este oficio. Nací y...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/ramon-gonzalez-carlos","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-11/IMG_7808_0.jpg.webp?itok=i-shUeCP","Maestro artesano","Ramón","Gónzalez Carlos","Comencé mi trayectoria profesional a los 20 años como cuchillero y con 38 años...","Cuchillero y Navajero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/amparo-blazquez-sierra","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-09/IMG_20240831_203330.jpg.webp?itok=rV5wa79-","Amparo","Blázquez Sierra","Cerámica Decoradora de telas","Empezaré diciendo que no conozco otro medio de expresarme que no sea a través de...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/vladimir-oscar-de-la-rosa-elisea","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-11/yo_0.jpg.jpg.webp?itok=EZvGXkpr","Vladimir Oscar","De la Rosa Elisea","Cerámica","Me inspira el arte que puede crear la cerámica al captar los momentos del...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jesus-picazo-escribano","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-08/foto%20personal.jpg.webp?itok=GgDquGVT","Jesús","Picazo Escribano","Carpintero","Mi aprendizaje empezó desde pequeño. Al tener la carpintería dentro de casa...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/fernando-garces-perez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-12/Fernando%20Garc%C3%A9s%20ceramica%202.jpg.webp?itok=W9IzoNEY","Fernando","Garcés Pérez","Cerámica","Fernando Garcés estudió en la Escuela Oficial de Cerámica de Madrid, hoy escuela...",""
